folder,File,max_acctive_AD_MMG,max_acctive_SN_MMG,max_acctive_AD_BA,max_acctive_SN_BA,max_acctive_AD_LE,max_acctive_SN_LE
1,1,0.7418,0.4658,0.5275,0.5253,0.3487,0.2973
1,2,1.0005,0.7999,0.3403,0.4175,0.4245,1.244
1,3,1.0821,0.9247,0.3293,0.2254,0.7274,2.0371
1,4,1.0392,0.8809,0.6261,0.5564,2.3183,1.5149
1,5,1.3509,1.0387,0.5503,0.9588,2.3546,2.5073
2,1,1.3902,1.3289,0.9194,0.9996,1.2779,1.7811
2,2,1.1389,0.8093,0.5411,0.4745,0.8523,0.8527
2,3,1.6655,0.6264,0.5324,0.8832,1.3352,1.2734
2,4,1.4894,1.3612,1.4134,1.9945,1.8173,1.8171
2,5,1.1175,1.1884,0.4968,0.5686,1.3866,1.5099
3,1,0.6098,0.267100000000001,0.3543,0.5143,0.2763,0.2185
3,2,0.7272,0.5636,0.7227,0.7039,0.549,0.9435
3,3,1.366,0.5659,0.5038,0.4461,0.812,0.7822
3,4,1.5522,1.3854,0.4975,1.4937,1.582,1.1896
3,5,1.5315,0.6708,0.5172,1.2918,0.886,1.084
4,1,0.7312,0.4846,0.1766,0.1042,3.296,2.3249
4,2,0.2411,0.3488,0.209,0.2131,0.643,0.764
4,3,0.362499999999999,1.0015,0.1133,0.1155,5.2702,7.8588
4,4,1.758,2.4434,0.237699999999999,0.3052,4.7957,8.3146
4,5,0.7579,0.2897,0.1095,0.1063,1.9127,1.0949
5,1,0.1934,,,,0.155,
5,2,0.2063,,,,0.2185,
5,3,,,,,0.0151,
5,4,0.0549,,,,0.1861,
5,5,0.0314999999999999,,,,,
6,1,0.1313,0.346,0.2457,0.2498,0.9141,0.4798
6,2,0.2486,0.1749,0.1841,0.1849,0.6097,0.2663
6,3,0.1817,0.1285,0.3041,0.4317,0.0463,0.1669
6,4,0.1719,0.1433,0.2224,0.2182,0.5314,0.2169
6,5,0.1381,0.1114,0.243,0.2528,0.3515,0.3615
7,1,1.7118,1.1792,0.1121,0.3948,1.2242,1.5944
7,2,1.6079,1.861,0.2541,0.4057,1.4825,1.902
7,3,0.7091,0.3179,0.4139,0.4051,1.4431,1.4997
7,4,1.7452,1.7607,0.2014,0.8921,1.8005,1.9795
7,5,1.826,1.7135,0.2395,0.6491,1.5725,2.4661
8,1,1.0054,1.6035,0.6002,0.6832,1.0528,2.3252
8,2,1.8168,1.8287,0.515,1.0152,0.8666,1.6769
8,3,1.1572,1.3917,0.9546,0.588,0.5704,1.1572
8,4,0.9292,1.8103,0.4635,0.5924,0.3469,1.1143
8,5,1.1944,2.1695,0.4723,0.579600000000001,1.1118,2.6019
9,1,0.4195,0.2393,0.1767,0.1168,0.9152,0.6862
9,2,0.3816,0.529,0.1209,0.4376,0.4886,1.3675
9,3,0.7975,0.693,0.1861,0.2268,0.7548,1.9967
9,4,0.2465,0.3668,0.1105,0.3283,0.3737,1.071
9,5,0.1405,0.1996,0.1058,0.1087,0.2065,0.2735
10,1,0.5225,0.2823,0.4765,0.6596,0.8959,0.4092
10,2,0.965,1.454,0.6357,0.71,0.4166,1.4182
10,3,0.4421,1.7873,0.324,1.2747,1.172,0.7922
10,4,0.4907,0.332,0.2764,0.5246,0.0844,0.4696
